mode,dataset_size,accuracy,precision_macro,recall_macro,f1_macro,false_positive_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms
rule-only,36,0.5277777777777778,0.43452380952380953,0.5277777777777778,0.4333333333333333,0.0,0.0025583334111919007,0.002499999027349986,0.003225001819373574,0.0032999996619764715
semantic-only,36,0.6111111111111112,0.7397435897435898,0.6111111111111112,0.5875,0.16666666666666666,12.431505555367847,12.300949998461874,14.605849997678888,18.1869000007282
ml-only,36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,0.0,12.29461666642035,12.322799999310519,14.410224998755439,15.527299998211674
hybrid,36,0.6944444444444444,0.8405797101449276,0.6944444444444445,0.6649350649350648,0.16666666666666666,24.55474722248457,24.056649999693036,28.328450001026795,32.243199999356875
